Flow_ID,Source_IP,Dest_IP,Source,Destination,Flow_Path,Total_Latency_ms
1:Jx96F3ZwV2G3WqaYAe9M9kUNFQA=,159.77.150.35,214.36.199.2,DK_PATCHBK_DE,UURWMEA110,"DK_PATCHBK_DE  --(M7U4, N/A)-->  UJEEPTM040  --(M8C1, 0.500ms)-->  UJEEPTM030  --(MVU1, 0.500ms)-->  UJPEPTM010 -> [UJP_MESH --33.1252ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",35.355195689871636
1:Nqzfge0vEu0TmM7NtnRU5pHuDnc=,131.67.229.34,214.36.199.2,DK_AKRON_OH,UURWMEA110,"DK_AKRON_OH  --(72Z5, N/A)-->  UJEWMEC040  --(BR20, 0.500ms)-->  UJEWMEC030  --(BGF0, 0.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",3.385
1:t8iI/EdlGOa7VESQydaYgP9MM4w=,131.68.71.34,214.36.199.2,DK_TITUSVLL_FL,UURWMEA110,"DK_TITUSVLL_FL  --(702J, N/A)-->  UJEWJKV030  --(BC9Z, 6.500ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",10.48039481782457
1:H6Y9oMrjkFX9BPN4Vly8COR2iUs=,214.36.199.3,131.66.91.34,UURWMEA120,DK_PITTSFLD_MA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BJV4, 2.000ms)-->  UJEWPHI030  --(7BX2, N/A)-->  DK_PITTSFLD_MA",2.5
1:b2eU1+DFNEKE/RNRmGQRvvzD0TE=,214.36.199.2,159.77.3.2,UURWMEA110,DK_RAFAKRTR_CY,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --37.0339ms-->] -> UJPEDTM010  --(M24A,MRB4,MTB4, 0.300ms)-->  UJEEDTM030  --(M6H3, 0.500ms)-->  UJEEDTM040  --(MQD3, 22.500ms)-->  UJEEAKI040  --(MD54, 0.500ms)-->  UJEEAKI030  --(BAW7, N/A)-->  DK_RAFAKRTR_CY",61.83393798413539
1:yMO+hJrl6oM3EIfS3N4J+uBa/v8=,140.20.208.105,214.36.199.2,DK_ASHBURN_VA,UURWMEA110,"DK_ASHBURN_VA  --(7ERM, N/A)-->  UJEWPNT040  --(BFD4, 0.500ms)-->  UJEWPNT030  --(BN94, 0.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",2.23
1:DJ9K2Ec+jL0eBuC8dqsKKyu02pk=,131.68.41.34,214.36.199.2,DK_LARGO_FL,UURWMEA110,"DK_LARGO_FL  --(7028, N/A)-->  UJEWJKV030  --(BC9Z, 6.500ms)-->  UJEWBRA030  --(2S61, 0.500ms)-->  UJPWBRA010 -> [UJP_MESH --2.2504ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",10.48039481782457
1:DJ9K2Ec+jL0eBuC8dqsKKyu02pk=,214.36.199.2,131.68.41.34,UURWMEA110,DK_LARGO_FL,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(7028, N/A)-->  DK_LARGO_FL",10.125394817824569
1:1Ww/Nx5Bs2ou09NYV3Pv7Kl3+PE=,214.36.199.2,159.77.8.2,UURWMEA110,DK_CLAYKSRN_DE,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --32.5681ms-->] -> UJPEWBM010  --(M24B, 0.285ms)-->  UJEEWBM030  --(7WBX, N/A)-->  DK_CLAYKSRN_DE",33.85314056371217
1:Af0FW0TiCtnpxLKOfNA2kNegkbE=,214.25.28.227,214.36.199.3,DR_FTBELVOR_VA,UURWMEA120,"DR_FTBELVOR_VA  --(7ET7, N/A)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.3381394106054785
