Source,Destination,Flow_Path,Total_Latency_ms,Delta_Latency_ms,Representative_Flow_ID,Occurrence_Count,Multiple_Paths
UURWMEA110,DK_ASHBURN_VA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7ERM, N/A)-->  DK_ASHBURN_VA",2.02,0.0,1:5/4XNWKQVXIThrKTt3hzgkS+o1M=,139,False
DK_ASHBURN_VA,UURWMEA110,"DK_ASHBURN_VA  --(7BRM, N/A)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",1.8381394106054785,0.0,1:5/4XNWKQVXIThrKTt3hzgkS+o1M=,135,True
UURWMEA440,UURWMEA110,"UURWMEA440  --(7AL5, N/A)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",0.0,0.0,1:qH6HKrJCD4ViAqcyleeYN4wEw/0=,100,False
UURWMEA110,UURWMEA440,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(7AL5, N/A)-->  UURWMEA440",0.0,0.0,1:AnJ3WyjpaM1fnSD2EkRnrks36mk=,84,False
DK_ASHBURN_VA,UURWMEA110,"DK_ASHBURN_VA  --(7ERM, N/A)-->  UJEWPNT040  --(BFD4, 0.500ms)-->  UJEWPNT030  --(BN94, 0.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",2.23,0.3918605893945215,1:yMO+hJrl6oM3EIfS3N4J+uBa/v8=,71,True
UURWMEA120,DK_ASHBURN_VA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BN94, 0.520ms)-->  UJEWPNT030  --(BFD4, 0.500ms)-->  UJEWPNT040  --(7ERM, N/A)-->  DK_ASHBURN_VA",1.52,0.0,1:7GyFIVJt0mcTuBM7iwykcLZmv+I=,17,False
UURWMEA120,DK_SAN_JOSE_CA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --18.2209ms-->] -> UJPWMIR010  --(B491, 0.325ms)-->  UJEWMIR030  --(7NPN, N/A)-->  DK_SAN_JOSE_CA",21.5458535654521,0.0,1:OPp5vaVfJu3DLXZuN06qPkJJys4=,12,False
UURWMEA110,DK_SAN_JOSE_CA,"UURWMEA110  --(268D, N/A)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --18.2209ms-->] -> UJPWMIR010  --(B491, 0.325ms)-->  UJEWMIR030  --(7NPN, N/A)-->  DK_SAN_JOSE_CA",21.0458535654521,0.0,1:C9PK8vdfMuXv4AVdSUtqrVK0Q/E=,10,False
DK_ASHBURN_VA,UURWMEA120,"DK_ASHBURN_VA  --(7BRM, N/A)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.3381394106054785,0.0,1:+XkrmviWQ2htenDEIBvDaD1+6TQ=,9,True
DK_ASHBURN_VA,UURWMEA120,"DK_ASHBURN_VA  --(7ERM, N/A)-->  UJEWPNT040  --(BFD4, 0.500ms)-->  UJEWPNT030  --(BN94, 0.500ms)-->  UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.73,0.3918605893945215,1:7GyFIVJt0mcTuBM7iwykcLZmv+I=,8,True
DK_SAN_JOSE_CA,UURWMEA110,"DK_SAN_JOSE_CA  --(7NPN, N/A)-->  UJEWMIR030  --(B491, 0.500ms)-->  UJPWMIR010 -> [UJP_MESH --18.2209ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(268D, N/A)-->  UURWMEA110",21.1058535654521,0.0,1:/q/ddSqobaFXYZ4UdX1TrN/+3RE=,7,False
DR_FTBELVOR_VA,UURWMEA120,"DR_FTBELVOR_VA  --(7ET7, N/A)-->  UJEWBEL030  --(BDR0, 0.500ms)-->  UJPWBEL010 -> [UJP_MESH --0.1081ms-->] -> UJPWPNT010  --(BVW2, 0.730ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",1.3381394106054785,0.0,1:Af0FW0TiCtnpxLKOfNA2kNegkbE=,6,False
DK_FTHUACHC_AZ,UURWMEA120,"DK_FTHUACHC_AZ  --(7880, N/A)-->  UJEWHUA030  --(BHW2, 0.500ms)-->  UJEWHUA040  --(BC8P, 9.500ms)-->  UJEWCAR040  --(BVJ0, 0.500ms)-->  UJEWCAR030  --(247W, 1.500ms)-->  UJPWBCK010 -> [UJP_MESH --11.7812ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",26.666191339326303,0.5,1:tkEuBDWkMGm3XqZozmWq45bX5/s=,5,True
UURWMEA120,DK_NSAMCNCS_PA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010  --(BGF0, 0.340ms)-->  UJEWMEC030  --(75GX, N/A)-->  DK_NSAMCNCS_PA",3.34,0.0,1:d9/IIYysAqy5RZSQF1MSBCuZHL0=,5,True
UURWMEA120,DK_NSAMCNCS_PA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010  --(BGF0, 0.340ms)-->  UJEWMEC030  --(BR20, 0.500ms)-->  UJEWMEC040  --(7JHX, N/A)-->  DK_NSAMCNCS_PA",3.84,0.5,1:/qLbWh2yY2ETyMIvTC13MDo/uv0=,5,True
DK_FTHUACHC_AZ,UURWMEA120,"DK_FTHUACHC_AZ  --(73F0, N/A)-->  UJEWHUA040  --(BC8P, 9.500ms)-->  UJEWCAR040  --(BVJ0, 0.500ms)-->  UJEWCAR030  --(247W, 1.500ms)-->  UJPWBCK010 -> [UJP_MESH --11.7812ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",26.166191339326303,0.0,1:7om0itmmQWGS1e2uaR4+pCSSoKE=,5,True
DK_LTKNYDPT_PA,UURWMEA120,"DK_LTKNYDPT_PA  --(7DCX, N/A)-->  UJEWLED030  --(B01T, 4.500ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",5.0,0.0,1:7y5tM86aImfBuYO743LzHVU0ebA=,5,True
DK_ANNAPOLS_MD,UURWMEA120,"DK_ANNAPOLS_MD  --(7XPT, N/A)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",0.5,0.0,1:d24GEYUypxwx+trJAuXe4YnXedA=,5,False
DK_LTKNYDPT_PA,UURWMEA120,"DK_LTKNYDPT_PA  --(7NGX, N/A)-->  UJEWLED040  --(BE34, 0.500ms)-->  UJEWLED030  --(B01T, 4.500ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",5.5,0.5,1:IBSy9ulwT6YfMFDIwTcQea+V3a4=,5,True
DK_COLUMBUS_OH,UURWMEA120,"DK_COLUMBUS_OH  --(7FR1, N/A)-->  UJEWCOL030  --(BDY2, 4.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",7.385,0.0,1:d7TpNfrncDM7GME45rmDwfeGT8k=,5,True
DK_COLUMBUS_OH,UURWMEA120,"DK_COLUMBUS_OH  --(7CM1, N/A)-->  UJEWCOL040  --(BEE0, 0.500ms)-->  UJEWCOL030  --(BDY2, 4.500ms)-->  UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",7.885,0.5,1:IG5Hl7w7O54VpGlBtulhAUoCa1w=,5,True
DK_HILLAFB_UT,UURWMEA120,"DK_HILLAFB_UT  --(7HSX, N/A)-->  UJEWHIL140  --(BBBS, 5.500ms)-->  UJPWBCK010 -> [UJP_MESH --11.7812ms-->] -> UJPWMEC010  --(BHN2, 2.385ms)-->  UJEWMEA040  --(2PH0, 0.500ms)-->  UJEWMEA030  --(268Q, N/A)-->  UURWMEA120",20.166191339326303,0.0,1:Gxxj9za+x4HJ480i5nIv0y2zye8=,5,False
UURWMEA120,DR_FTBELVOR_VA,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --0.1081ms-->] -> UJPWBEL010  --(BDR0, 0.345ms)-->  UJEWBEL030  --(7ET7, N/A)-->  DR_FTBELVOR_VA",0.9531394106054786,0.0,1:RPVPjbNARHr/dmORDtIrDDaS6VE=,5,False
UURWMEA120,DK_SCHQMIAM_FL,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010 -> [UJP_MESH --2.2504ms-->] -> UJPWBRA010  --(2S61, 0.375ms)-->  UJEWBRA030  --(BC9Z, 6.500ms)-->  UJEWJKV030  --(B4Z0, 0.500ms)-->  UJEWJKV040  --(BCBM, 3.500ms)-->  UJEWSCD040  --(BYZ1, 0.500ms)-->  UJEWSCD030  --(7RG0, N/A)-->  DK_SCHQMIAM_FL",14.125394817824569,0.5,1:gmQkV4A1TOtjAIwHyidBr0TN/oQ=,5,True
UURWMEA120,DK_SUGARGRV_WV,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(BVW2, 0.500ms)-->  UJPWPNT010  --(BPQ1, 1.655ms)-->  UJEWCHT030  --(74LU, N/A)-->  DK_SUGARGRV_WV",2.1550000000000002,0.0,1:20fF+kcDuCdI6S3bXbsN+2ZvTzY=,5,False
UURWMEA120,DK_TINRAFB_OK,"UURWMEA120  --(268Q, N/A)-->  UJEWMEA030  --(2PH0, 0.500ms)-->  UJEWMEA040  --(BHN2, 2.500ms)-->  UJPWMEC010 -> [UJP_MESH --9.3126ms-->] -> UJPWTIN010  --(BE0C, 0.350ms)-->  UJEWTIN030  --(74JX, N/A)-->  DK_TINRAFB_OK",12.662595644342264,0.0,1:EC86CCEIz5yUclj6D8NsfkYKqzs=,5,True
